open,high,low,close
0.04951,0.04951,0.04951,0.04951
0.04951,0.08585,0.04951,0.08584
0.08584,0.09307,0.07723,0.0808
0.0808,0.08181,0.07426,0.07474
0.07474,0.07921,0.06634,0.07921
0.07921,0.08181,0.0505,0.0505
0.0505,0.06767,0.0505,0.06262
0.06262,0.06262,0.05049,0.05454
0.05454,0.05941,0.0505,0.0505
0.0505,0.056,0.05,0.056
0.056,0.0605,0.053,0.06
0.06,0.062,0.054,0.0589
0.0589,0.0699,0.0571,0.0699
0.0699,0.0699,0.0582,0.0627
0.0627,0.06889,0.056,0.06785
0.06785,0.06785,0.06,0.0611
0.0611,0.0633,0.06,0.06
0.06,0.065,0.059,0.06
0.06,0.06231,0.057,0.057
0.057,0.061,0.057,0.061
0.061,0.0624,0.0607,0.0623
0.0623,0.0623,0.059,0.059
0.059,0.061,0.059,0.0609
0.0609,0.0735,0.0593,0.071
0.071,0.071,0.06651,0.07
0.07,0.07541,0.06,0.067
0.067,0.07,0.06141,0.07
0.07,0.07,0.0645,0.0645
0.0645,0.0695,0.0645,0.067
0.067,0.067,0.065,0.06529
0.06529,0.0679,0.062,0.0655
0.0655,0.0769,0.06243,0.07
0.07,0.0733,0.067,0.068
0.068,0.068,0.0667,0.0667
0.0667,0.0667,0.065,0.0655
0.0655,0.0669,0.0644,0.0664
0.0664,0.0664,0.0612,0.066
0.066,0.06689,0.063,0.06491
0.06491,0.0665,0.06491,0.065
0.065,0.0665,0.0641,0.0648
0.0648,0.0658,0.064,0.064
0.064,0.065,0.063,0.065
0.065,0.065,0.0641,0.0641
0.0641,0.0648,0.064,0.064
0.064,0.069,0.03211,0.06497
0.06497,0.06497,0.06,0.06
0.06,0.0629,0.05961,0.0629
0.0629,0.0634,0.0601,0.0634
0.0634,0.0634,0.06085,0.06085
0.06085,0.06238,0.06085,0.06238
0.06238,0.064,0.0605,0.0616
0.0616,0.0627,0.0616,0.0616
0.0616,0.06201,0.0603,0.061
0.061,0.062,0.06099,0.062
0.062,0.0624,0.06109,0.06111
0.06111,0.0618,0.06014,0.0618
0.0618,0.065,0.0618,0.06366
0.06366,0.06366,0.0615,0.0615
0.0615,0.064,0.0607,0.06219
0.06219,0.175,0.061,0.06199
0.06199,0.0625,0.0604,0.0604
0.0604,0.0619,0.0604,0.0619
0.0619,0.0619,0.059,0.059
0.059,0.061,0.05761,0.061
0.061,0.0627,0.06,0.0627
0.0627,0.0634,0.062,0.0621
0.0621,0.0633,0.0621,0.06265
0.06265,0.06265,0.06147,0.0622
0.0622,0.063,0.0615,0.06231
0.06231,0.0624,0.06209,0.0622
0.0622,0.0624,0.0617,0.06202
0.06202,0.06228,0.06186,0.062
0.062,0.06228,0.0619,0.0622
0.0622,0.06271,0.0617,0.0619
0.0619,0.062,0.0615,0.06191
0.06191,0.06191,0.06155,0.0619
0.0619,0.062,0.06189,0.06197
0.06197,0.06197,0.06125,0.0614
0.0614,0.0614,0.061,0.06111
0.06111,0.062,0.06081,0.0613
0.0613,0.06301,0.0609,0.0614
0.0614,0.0635,0.0612,0.06281
0.06281,0.067,0.0628,0.067
0.067,0.088,0.01,0.08685
0.08685,0.12,0.068,0.0938
0.0938,0.1301,0.07999,0.0965
0.0965,0.103,0.091,0.095
